,size,median,p-Val,treatment
0,30.0,1.0,0.9999994434527557,Wilcoxon Signed Rank Test
1,30.0,1.0,0.9999994926907132,Wilcoxon Signed Rank Test
2,30.0,1.0,0.9999986173340346,Wilcoxon Signed Rank Test
3,30.0,1.0,0.9999992030593526,Wilcoxon Signed Rank Test
4,30.0,1.0,0.9999993071824347,Wilcoxon Signed Rank Test
5,30.0,1.0,0.9999992249798453,Wilcoxon Signed Rank Test
6,30.0,1.0,0.9999986668901221,Wilcoxon Signed Rank Test
7,30.0,1.0,0.9999993133468125,Wilcoxon Signed Rank Test
8,30.0,1.0,0.9999995954281794,Wilcoxon Signed Rank Test
9,30.0,1.0,0.9999982586212914,Wilcoxon Signed Rank Test
10,30.0,1.0,0.9999996975193325,Wilcoxon Signed Rank Test
11,30.0,1.0,0.9999994356338021,Wilcoxon Signed Rank Test
12,30.0,1.0,0.9999994918782182,Wilcoxon Signed Rank Test
13,30.0,1.0,0.9999993298423244,Wilcoxon Signed Rank Test
14,30.0,1.0,0.9999987415546366,Wilcoxon Signed Rank Test
15,30.0,1.0,0.9999988493895796,Wilcoxon Signed Rank Test
16,30.0,1.0,0.999999543649235,Wilcoxon Signed Rank Test
17,30.0,1.0,0.9999993125707353,Wilcoxon Signed Rank Test
18,30.0,1.0,0.9999995607567335,Wilcoxon Signed Rank Test
19,30.0,1.0,0.9999994434527557,Wilcoxon Signed Rank Test
20,30.0,1.0,0.9999991740402145,Wilcoxon Signed Rank Test
21,30.0,1.0,0.9999995954281794,Wilcoxon Signed Rank Test
22,30.0,1.0,0.9999993724277656,Wilcoxon Signed Rank Test
23,30.0,1.0,0.9999990197278558,Wilcoxon Signed Rank Test
24,30.0,1.0,0.9999991962472368,Wilcoxon Signed Rank Test
25,30.0,1.0,0.9999993967297944,Wilcoxon Signed Rank Test
26,30.0,1.0,0.9999992818864092,Wilcoxon Signed Rank Test
27,30.0,1.0,0.9999780643852366,Wilcoxon Signed Rank Test
28,30.0,1.0,0.9999990628823063,Wilcoxon Signed Rank Test
