,size,median,p-Val,treatment
138,30.0,1.0,1.0,Sign Test
139,30.0,1.0,1.0,Sign Test
140,30.0,1.0,1.0,Sign Test
141,30.0,1.0,1.0,Sign Test
142,30.0,1.0,1.0,Sign Test
143,30.0,1.0,1.0,Sign Test
144,30.0,1.0,1.0,Sign Test
145,30.0,1.0,1.0,Sign Test
146,30.0,1.0,1.0,Sign Test
147,30.0,1.0,1.0,Sign Test
148,30.0,1.0,1.0,Sign Test
149,30.0,1.0,1.0,Sign Test
150,30.0,1.0,1.0,Sign Test
151,30.0,1.0,1.0,Sign Test
152,30.0,1.0,1.0,Sign Test
153,30.0,1.0,1.0,Sign Test
154,30.0,1.0,1.0,Sign Test
155,30.0,1.0,1.0,Sign Test
156,30.0,1.0,1.0,Sign Test
157,30.0,1.0,1.0,Sign Test
158,30.0,1.0,1.0,Sign Test
159,30.0,1.0,1.0,Sign Test
160,30.0,1.0,1.0,Sign Test
161,30.0,1.0,1.0,Sign Test
162,30.0,1.0,1.0,Sign Test
163,30.0,1.0,1.0,Sign Test
164,30.0,1.0,1.0,Sign Test
165,30.0,1.0,1.0,Sign Test
166,30.0,1.0,1.0,Sign Test
167,30.0,1.0,1.0,Sign Test
168,30.0,1.0,1.0,Sign Test
169,30.0,1.0,1.0,Sign Test
170,30.0,1.0,1.0,Sign Test
171,30.0,1.0,1.0,Sign Test
172,30.0,1.0,1.0,Sign Test
173,30.0,1.0,1.0,Sign Test
174,30.0,1.0,1.0,Sign Test
175,30.0,1.0,1.0,Sign Test
176,30.0,1.0,1.0,Sign Test
177,30.0,1.0,1.0,Sign Test
178,30.0,1.0,1.0,Sign Test
179,30.0,1.0,1.0,Sign Test
180,30.0,1.0,1.0,Sign Test
181,30.0,1.0,1.0,Sign Test
182,30.0,1.0,1.0,Sign Test
183,30.0,1.0,1.0,Sign Test
184,30.0,1.0,1.0,Sign Test
185,30.0,1.0,1.0,Sign Test
186,30.0,1.0,1.0,Sign Test
187,30.0,1.0,1.0,Sign Test
188,30.0,1.0,1.0,Sign Test
189,30.0,1.0,1.0,Sign Test
190,30.0,1.0,1.0,Sign Test
191,30.0,1.0,1.0,Sign Test
192,30.0,1.0,1.0,Sign Test
193,30.0,1.0,1.0,Sign Test
194,30.0,1.0,1.0,Sign Test
195,30.0,1.0,1.0,Sign Test
196,30.0,1.0,1.0,Sign Test
197,30.0,1.0,1.0,Sign Test
198,30.0,1.0,1.0,Sign Test
199,30.0,1.0,1.0,Sign Test
200,30.0,1.0,1.0,Sign Test
201,30.0,1.0,1.0,Sign Test
202,30.0,1.0,1.0,Sign Test
203,30.0,1.0,1.0,Sign Test
204,30.0,1.0,1.0,Sign Test
205,30.0,1.0,1.0,Sign Test
206,30.0,1.0,1.0,Sign Test
207,30.0,1.0,1.0,Sign Test
208,30.0,1.0,1.0,Sign Test
209,30.0,1.0,1.0,Sign Test
210,30.0,1.0,1.0,Sign Test
211,30.0,1.0,1.0,Sign Test
212,30.0,1.0,1.0,Sign Test
213,30.0,1.0,1.0,Sign Test
214,30.0,1.0,1.0,Sign Test
215,30.0,1.0,1.0,Sign Test
216,30.0,1.0,1.0,Sign Test
217,30.0,1.0,1.0,Sign Test
218,30.0,1.0,1.0,Sign Test
219,30.0,1.0,1.0,Sign Test
220,30.0,1.0,1.0,Sign Test
221,30.0,1.0,1.0,Sign Test
222,30.0,1.0,1.0,Sign Test
223,30.0,1.0,1.0,Sign Test
224,30.0,1.0,1.0,Sign Test
225,30.0,1.0,1.0,Sign Test
226,30.0,1.0,1.0,Sign Test
227,30.0,1.0,1.0,Sign Test
228,30.0,1.0,1.0,Sign Test
229,30.0,1.0,1.0,Sign Test
230,30.0,1.0,1.0,Sign Test
231,30.0,1.0,1.0,Sign Test
232,30.0,1.0,1.0,Sign Test
233,30.0,1.0,1.0,Sign Test
234,30.0,1.0,1.0,Sign Test
235,30.0,1.0,1.0,Sign Test
236,30.0,1.0,1.0,Sign Test
237,30.0,1.0,1.0,Sign Test
238,30.0,1.0,1.0,Sign Test
239,30.0,1.0,1.0,Sign Test
240,30.0,1.0,1.0,Sign Test
241,30.0,1.0,1.0,Sign Test
242,30.0,1.0,1.0,Sign Test
243,30.0,1.0,1.0,Sign Test
244,30.0,1.0,1.0,Sign Test
245,30.0,1.0,1.0,Sign Test
246,30.0,1.0,1.0,Sign Test
247,30.0,1.0,1.0,Sign Test
248,30.0,1.0,1.0,Sign Test
249,30.0,1.0,1.0,Sign Test
250,30.0,1.0,1.0,Sign Test
251,30.0,1.0,1.0,Sign Test
252,30.0,1.0,1.0,Sign Test
253,30.0,1.0,1.0,Sign Test
254,30.0,1.0,1.0,Sign Test
255,30.0,1.0,1.0,Sign Test
256,30.0,1.0,1.0,Sign Test
257,30.0,1.0,1.0,Sign Test
258,30.0,1.0,1.0,Sign Test
259,30.0,1.0,1.0,Sign Test
260,30.0,1.0,1.0,Sign Test
261,30.0,1.0,1.0,Sign Test
262,30.0,1.0,1.0,Sign Test
263,30.0,1.0,1.0,Sign Test
264,30.0,1.0,1.0,Sign Test
265,30.0,1.0,1.0,Sign Test
266,30.0,1.0,1.0,Sign Test
267,30.0,1.0,1.0,Sign Test
268,30.0,1.0,1.0,Sign Test
269,30.0,1.0,1.0,Sign Test
270,30.0,1.0,1.0,Sign Test
271,30.0,1.0,1.0,Sign Test
272,30.0,1.0,1.0,Sign Test
273,30.0,1.0,1.0,Sign Test
274,30.0,1.0,1.0,Sign Test
275,30.0,1.0,1.0,Sign Test
276,30.0,1.0,1.0,Sign Test
277,30.0,1.0,1.0,Sign Test
278,30.0,1.0,1.0,Sign Test
279,30.0,1.0,1.0,Sign Test
280,30.0,1.0,1.0,Sign Test
281,30.0,1.0,1.0,Sign Test
282,30.0,1.0,1.0,Sign Test
283,30.0,1.0,1.0,Sign Test
284,30.0,1.0,1.0,Sign Test
285,30.0,1.0,1.0,Sign Test
286,30.0,1.0,1.0,Sign Test
287,30.0,1.0,1.0,Sign Test
288,30.0,1.0,1.0,Sign Test
289,30.0,1.0,1.0,Sign Test
290,30.0,1.0,1.0,Sign Test
291,30.0,1.0,1.0,Sign Test
292,30.0,1.0,1.0,Sign Test
293,30.0,1.0,1.0,Sign Test
294,30.0,1.0,1.0,Sign Test
295,30.0,1.0,1.0,Sign Test
296,30.0,1.0,1.0,Sign Test
297,30.0,1.0,1.0,Sign Test
298,30.0,1.0,1.0,Sign Test
299,30.0,1.0,1.0,Sign Test
300,30.0,1.0,1.0,Sign Test
301,30.0,1.0,1.0,Sign Test
302,30.0,1.0,1.0,Sign Test
303,30.0,1.0,1.0,Sign Test
304,30.0,1.0,1.0,Sign Test
305,30.0,1.0,1.0,Sign Test
306,30.0,1.0,1.0,Sign Test
307,30.0,1.0,1.0,Sign Test
308,30.0,1.0,1.0,Sign Test
309,30.0,1.0,1.0,Sign Test
310,30.0,1.0,1.0,Sign Test
311,30.0,1.0,1.0,Sign Test
312,30.0,1.0,1.0,Sign Test
313,30.0,1.0,1.0,Sign Test
314,30.0,1.0,1.0,Sign Test
315,30.0,1.0,1.0,Sign Test
316,30.0,1.0,1.0,Sign Test
317,30.0,1.0,1.0,Sign Test
318,30.0,1.0,1.0,Sign Test
319,30.0,1.0,1.0,Sign Test
320,30.0,1.0,1.0,Sign Test
321,30.0,1.0,1.0,Sign Test
322,30.0,1.0,1.0,Sign Test
323,30.0,1.0,1.0,Sign Test
324,30.0,1.0,1.0,Sign Test
325,30.0,1.0,1.0,Sign Test
326,30.0,1.0,1.0,Sign Test
327,30.0,1.0,1.0,Sign Test
328,30.0,1.0,1.0,Sign Test
329,30.0,1.0,1.0,Sign Test
330,30.0,1.0,1.0,Sign Test
331,30.0,1.0,1.0,Sign Test
332,30.0,1.0,1.0,Sign Test
333,30.0,1.0,1.0,Sign Test
334,30.0,1.0,1.0,Sign Test
335,30.0,1.0,1.0,Sign Test
336,30.0,1.0,1.0,Sign Test
337,30.0,1.0,1.0,Sign Test
338,30.0,1.0,1.0,Sign Test
339,30.0,1.0,1.0,Sign Test
340,30.0,1.0,1.0,Sign Test
341,30.0,1.0,1.0,Sign Test
342,30.0,1.0,1.0,Sign Test
343,30.0,1.0,1.0,Sign Test
344,30.0,1.0,1.0,Sign Test
345,30.0,1.0,1.0,Sign Test
346,30.0,1.0,1.0,Sign Test
347,30.0,1.0,1.0,Sign Test
348,30.0,1.0,1.0,Sign Test
349,30.0,1.0,1.0,Sign Test
350,30.0,1.0,1.0,Sign Test
351,30.0,1.0,1.0,Sign Test
352,30.0,1.0,1.0,Sign Test
353,30.0,1.0,1.0,Sign Test
354,30.0,1.0,1.0,Sign Test
355,30.0,1.0,1.0,Sign Test
356,30.0,1.0,1.0,Sign Test
357,30.0,1.0,1.0,Sign Test
358,30.0,1.0,1.0,Sign Test
359,30.0,1.0,1.0,Sign Test
360,30.0,1.0,1.0,Sign Test
361,30.0,1.0,1.0,Sign Test
362,30.0,1.0,1.0,Sign Test
363,30.0,1.0,1.0,Sign Test
364,30.0,1.0,1.0,Sign Test
365,30.0,1.0,1.0,Sign Test
366,30.0,1.0,1.0,Sign Test
367,30.0,1.0,1.0,Sign Test
368,30.0,1.0,1.0,Sign Test
369,30.0,1.0,1.0,Sign Test
370,30.0,1.0,1.0,Sign Test
