,size,median,p-Val,treatment
91,30.0,1.0,0.9999997565008357,Wilcoxon Signed Rank Test
92,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
93,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
94,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
95,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
96,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
97,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
98,30.0,1.0,0.9999998334889064,Wilcoxon Signed Rank Test
99,30.0,1.0,0.9999997944873794,Wilcoxon Signed Rank Test
100,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
101,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
102,30.0,1.0,0.9999997944873794,Wilcoxon Signed Rank Test
103,30.0,1.0,0.9999998697594065,Wilcoxon Signed Rank Test
104,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
105,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
106,30.0,1.0,0.999999833894425,Wilcoxon Signed Rank Test
107,30.0,1.0,0.9999997944873794,Wilcoxon Signed Rank Test
108,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
109,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
110,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
111,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
112,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
113,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
114,30.0,1.0,0.9999999492777686,Wilcoxon Signed Rank Test
115,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
116,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
117,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
118,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
119,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
120,30.0,1.0,0.9999998371083131,Wilcoxon Signed Rank Test
121,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
122,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
123,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
124,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
125,30.0,1.0,0.9999997042025605,Wilcoxon Signed Rank Test
126,30.0,1.0,0.9999998703067469,Wilcoxon Signed Rank Test
127,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
128,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
129,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
130,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
131,30.0,1.0,0.999999833894425,Wilcoxon Signed Rank Test
132,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
133,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
134,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
135,30.0,1.0,0.9999998351059229,Wilcoxon Signed Rank Test
136,30.0,1.0,0.9999999019116668,Wilcoxon Signed Rank Test
137,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
138,30.0,1.0,0.9999998713955182,Wilcoxon Signed Rank Test
139,30.0,1.0,0.9999999013945935,Wilcoxon Signed Rank Test
140,30.0,1.0,0.999999833894425,Wilcoxon Signed Rank Test
141,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
142,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
143,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
144,30.0,1.0,0.9999997235060041,Wilcoxon Signed Rank Test
145,30.0,1.0,0.9999997967436786,Wilcoxon Signed Rank Test
146,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
147,30.0,1.0,0.9999998000885365,Wilcoxon Signed Rank Test
148,30.0,1.0,0.9999999492777686,Wilcoxon Signed Rank Test
149,30.0,1.0,0.9999997235060041,Wilcoxon Signed Rank Test
150,30.0,1.0,0.9999999660057501,Wilcoxon Signed Rank Test
151,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
152,30.0,1.0,0.9999999279851909,Wilcoxon Signed Rank Test
153,30.0,1.0,0.999999949326432,Wilcoxon Signed Rank Test
154,30.0,1.0,0.999999824121474,Wilcoxon Signed Rank Test
155,30.0,1.0,0.9999998703067469,Wilcoxon Signed Rank Test
156,30.0,1.0,0.999999927787254,Wilcoxon Signed Rank Test
157,30.0,1.0,0.999999833894425,Wilcoxon Signed Rank Test
158,30.0,1.0,0.999999824121474,Wilcoxon Signed Rank Test
